id,nested_qpl,dict_qpl,yaml_qpl
e968c73bf4c0d4b6fa12af529a4c949f561b0a51ef8510f0029c9dee84948ba4,"Aggregate Output [ countstar AS Count_Star ]
  In: Scan Table [ singer ] Output [ 1 AS One ]","{""id"": ""#2"", ""operation"": ""Aggregate"", ""output"": ""countstar AS Count_Star"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""output"": ""1 AS One""}]}","children:
- id: '#1'
  operation: Scan Table
  output: 1 AS One
  table: singer
id: '#2'
operation: Aggregate
output: countstar AS Count_Star
"
de71b4f79c1ad3c71f523f6436acef9f69f5ca098b441f5055416ac23bf9bb75,"Aggregate Output [ countstar AS Count_Star ]
  In: Scan Table [ singer ] Output [ 1 AS One ]","{""id"": ""#2"", ""operation"": ""Aggregate"", ""output"": ""countstar AS Count_Star"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""output"": ""1 AS One""}]}","children:
- id: '#1'
  operation: Scan Table
  output: 1 AS One
  table: singer
id: '#2'
operation: Aggregate
output: countstar AS Count_Star
"
e394ac9df4f6eff3fff54c2cd85d37190b1ae1f4e30dd63e1577150115b277d3,"Sort OrderBy [ Age DESC ] Output [ Name , Country , Age ]
  In: Scan Table [ singer ] Output [ Name , Country , Age ]","{""id"": ""#2"", ""operation"": ""Sort"", ""predicate"": ""OrderBy [ Age DESC ]"", ""output"": ""Name , Country , Age"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""output"": ""Name , Country , Age""}]}","children:
- id: '#1'
  operation: Scan Table
  output: Name , Country , Age
  table: singer
id: '#2'
operation: Sort
output: Name , Country , Age
predicate: OrderBy [ Age DESC ]
"
b67ff822c24588338ffb03a8d5dfa10d171e0b5e7187fc901ceb178b9e60260e,"Sort OrderBy [ Age DESC ] Output [ Name , Country , Age ]
  In: Scan Table [ singer ] Output [ Name , Country , Age ]","{""id"": ""#2"", ""operation"": ""Sort"", ""predicate"": ""OrderBy [ Age DESC ]"", ""output"": ""Name , Country , Age"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""output"": ""Name , Country , Age""}]}","children:
- id: '#1'
  operation: Scan Table
  output: Name , Country , Age
  table: singer
id: '#2'
operation: Sort
output: Name , Country , Age
predicate: OrderBy [ Age DESC ]
"
53334ecd19e94f941108a87084020b87e9f5c41dc547b09d9aae53339cc69b0d,"Aggregate Output [ MIN(Age) AS Min_Age , AVG(Age) AS Avg_Age , MAX(Age) AS Max_Age ]
  In: Scan Table [ singer ] Predicate [ Country = 'France' ] Output [ Country , Age ]","{""id"": ""#2"", ""operation"": ""Aggregate"", ""output"": ""MIN(Age) AS Min_Age , AVG(Age) AS Avg_Age , MAX(Age) AS Max_Age"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""predicate"": ""Predicate [ Country = 'France' ]"", ""output"": ""Country , Age""}]}","children:
- id: '#1'
  operation: Scan Table
  output: Country , Age
  predicate: Predicate [ Country = 'France' ]
  table: singer
id: '#2'
operation: Aggregate
output: MIN(Age) AS Min_Age , AVG(Age) AS Avg_Age , MAX(Age) AS Max_Age
"
2c9124545e4b80beca6be6f312295f8cefc9dacdef86c65bcb177ccb138f723b,"Aggregate Output [ MIN(Age) AS Min_Age , AVG(Age) AS Avg_Age , MAX(Age) AS Max_Age ]
  In: Scan Table [ singer ] Predicate [ Country = 'France' ] Output [ Country , Age ]","{""id"": ""#2"", ""operation"": ""Aggregate"", ""output"": ""MIN(Age) AS Min_Age , AVG(Age) AS Avg_Age , MAX(Age) AS Max_Age"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""predicate"": ""Predicate [ Country = 'France' ]"", ""output"": ""Country , Age""}]}","children:
- id: '#1'
  operation: Scan Table
  output: Country , Age
  predicate: Predicate [ Country = 'France' ]
  table: singer
id: '#2'
operation: Aggregate
output: MIN(Age) AS Min_Age , AVG(Age) AS Avg_Age , MAX(Age) AS Max_Age
"
950b12210f92f7fe8accf0f9ee01cdde5d5eddbb4ee55d11c62f35fcbd04a945,"TopSort Rows [ 1 ] OrderBy [ Age ASC ] Output [ Song_Name , Song_release_year , Age ]
  In: Scan Table [ singer ] Output [ Song_Name , Song_release_year , Age ]","{""id"": ""#2"", ""operation"": ""TopSort"", ""predicate"": ""Rows [ 1 ] OrderBy [ Age ASC ]"", ""output"": ""Song_Name , Song_release_year , Age"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""output"": ""Song_Name , Song_release_year , Age""}]}","children:
- id: '#1'
  operation: Scan Table
  output: Song_Name , Song_release_year , Age
  table: singer
id: '#2'
operation: TopSort
output: Song_Name , Song_release_year , Age
predicate: Rows [ 1 ] OrderBy [ Age ASC ]
"
4f7180a6789311e9ad1d037c95fcb731331d0639d72e703d6dd5e1c58b5c24d8,"TopSort Rows [ 1 ] OrderBy [ Age ASC ] Output [ Song_Name , Song_release_year , Age ]
  In: Scan Table [ singer ] Output [ Song_Name , Song_release_year , Age ]","{""id"": ""#2"", ""operation"": ""TopSort"", ""predicate"": ""Rows [ 1 ] OrderBy [ Age ASC ]"", ""output"": ""Song_Name , Song_release_year , Age"", ""children"": [{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""output"": ""Song_Name , Song_release_year , Age""}]}","children:
- id: '#1'
  operation: Scan Table
  output: Song_Name , Song_release_year , Age
  table: singer
id: '#2'
operation: TopSort
output: Song_Name , Song_release_year , Age
predicate: Rows [ 1 ] OrderBy [ Age ASC ]
"
510cd2705d653711d8a98af4c2f583205aad0b5adf2325464970f860083224cd,Scan Table [ singer ] Predicate [ Age > 20 ] Distinct [ true ] Output [ Country ],"{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""predicate"": ""Predicate [ Age > 20 ] Distinct [ true ]"", ""output"": ""Country""}","id: '#1'
operation: Scan Table
output: Country
predicate: Predicate [ Age > 20 ] Distinct [ true ]
table: singer
"
caaf4a80c883edab18f4e7e85da3f3348e643534f21bcb95b97ba3db14647a8d,Scan Table [ singer ] Predicate [ Age > 20 ] Distinct [ true ] Output [ Country ],"{""id"": ""#1"", ""operation"": ""Scan Table"", ""table"": ""singer"", ""predicate"": ""Predicate [ Age > 20 ] Distinct [ true ]"", ""output"": ""Country""}","id: '#1'
operation: Scan Table
output: Country
predicate: Predicate [ Age > 20 ] Distinct [ true ]
table: singer
"
